"Address","Size","Name"
"00401000","3","MissionCondition::IsChaseCondition"
"00401010","5","cls_0x401010::virt_meth_0x401010"
"00401020","3","MissionCondition::IsClose"
"00401030","5","cls_0x401030::virt_meth_0x401030"
"00401040","6","FUN_00401040"
"00401050","5","FUN_00401050"
"00401060","6","FUN_00401060"
"00401070","6","FUN_00401070"
"00401080","5","SimulatedObject::IsCacheEmpty"
"00401090","12","cls_0x401090::virt_meth_0x401090"
"004010a0","15","cls_0x4010a0::virt_meth_0x4010a0"
"004010b0","6","FUN_004010b0"
"004010c0","3","Character::pPosition"
"004010d0","6","cls_0x4010d0::virt_meth_0x4010d0"
"004010e0","6","Vehicle::GetGroundPlaneAIRef"
"004010f0","5","ArticulatedPhysicsObject::IsCacheEmpty"
"00401100","27","cls_0x401100::virt_meth_0x401100"
"00401120","4","FUN_00401120"
"00401130","10","sim::PhysicsProperties::SetRestCoeffCGS"
"00401140","13","FUN_00401140"
"00401150","6","FUN_00401150"
"00401160","6","FUN_00401160"
"00401170","6","FUN_00401170"
"00401180","6","FUN_00401180"
"00401190","13","cls_0x401190::meth_0x401190"
"004011a0","6","FUN_004011a0"
"004011b0","6","FUN_004011b0"
"004011c0","18","FUN_004011c0"
"004011e0","66","FUN_004011e0"
"00401230","47","FUN_00401230"
"00401260","18","FUN_00401260"
"00401280","34","FUN_00401280"
"004012b0","34","cls_0x4012b0::virt_meth_0x4012b0"
"004012e0","37","FUN_004012e0"
"00401310","18","cls_0x401310::virt_meth_0x401310"
"00401330","37","FUN_00401330"
"00401360","29","FUN_00401360"
"00401380","21","FUN_00401380"
"004013a0","23","FUN_004013a0"
"004013c0","27","FUN_004013c0"
"004013e0","18","cls_0x4013e0::meth_0x4013e0"
"00401400","8","cls_0x401400::meth_0x401400"
"00401410","4","FUN_00401410"
"00401420","9","cls_0x401420::meth_0x401420"
"00401430","16","cls_0x401430::meth_0x401430"
"00401440","7","cls_0x401440::meth_0x401440"
"00401450","7","cls_0x401450::meth_0x401450"
"00401460","23","InteriorExit::InteriorExit"
"00401480","27","FUN_00401480"
"004014a0","11","cls_0x4014a0::meth_0x4014a0"
"004014b0","74","cls_0x4014b0::virt_meth_0x4014b0"
"00401500","5","FUN_00401500"
"00401510","5","FUN_00401510"
"00401520","24","cls_0x401520::virt_meth_0x401520"
"00401540","36","FUN_00401540"
"00401570","27","FUN_00401570"
"00401590","11","EnterInterior::meth_0x401590"
"004015a0","4","FUN_004015a0"
"004015b0","40","cls_0x4015b0::virt_meth_0x4015b0"
"004015e0","82","ActionButton::GetInCar::GetInCar"
"00401640","27","FUN_00401640"
"00401660","112","GetInCar::meth_0x401660"
"004016d0","102","cls_0x4016d0::virt_meth_0x4016d0"
"00401740","87","FUN_00401740"
"004017a0","27","FUN_004017a0"
"004017c0","100","cls_0x4017c0::meth_0x4017c0"
"00401830","203","FUN_00401830"
"00401900","27","FUN_00401900"
"00401920","100","cls_0x401920::meth_0x401920"
"00401990","201","cls_0x401990::virt_meth_0x401990"
"00401a60","58","cls_0x401a60::virt_meth_0x401a60"
"00401aa0","141","FUN_00401aa0"
"00401b30","8","FUN_00401b30"
"00401b40","8","FUN_00401b40"
"00401b50","8","FUN_00401b50"
"00401b60","66","FUN_00401b60"
